ap_timeo;ap_datemaj;Commune (nom);Coordonnées;Commune (code INSEE);id;ap_datedeb;ap_datefin;ap_adresse;desserte;desserte_scolaire;desserte_soirs_we;desserte_dimanche;desserte_2145;acces_pmr;banc;eclairage;poubelle;quartier_offre;ap_modif;Date de début de version;Date de fin de version;Est la version active;Visibilité
1359;2018-07-24T02:00:00+02:00;Rennes;48.091479, -1.655599;35238;1359;2015-08-31T02:00:00+02:00;;22 rue Frédéric Mistral, Rennes;12;;;;;Oui;Oui;Oui;Non;Landrel;;2022-10-24;;Oui;Grand public
5018;2021-09-15T02:00:00+02:00;;;;549;;;51 rue Antoine Joly, Rennes;a;;;;;Oui;Oui;Oui;Oui;Pontchaillou;;;;;
1751;2022-09-01T02:00:00+02:00;Rennes;48.114844, -1.681513;35238;1751;2022-10-28T02:00:00+02:00;;2 rue d'Echange, Rennes;100;;;;;;;;;;Création;2022-10-28;;Oui;Grand public
5022;2021-09-15T02:00:00+02:00;;;;574;;;1 cours des Alliés, Rennes;a;;;;;Oui;Oui;Oui;Oui;CDG - Colombier;;;;;
4504;2018-08-28T02:00:00+02:00;Gévezé;48.21819, -1.78315;35120;4504;;;34 rue de Robien, Gévezé;68 168;226 224 Ts75;;52;;Oui;Oui;Oui;Oui;Gévezé - Centre-ville;;2022-10-24;;Oui;Grand public
2061;2018-02-07T01:00:00+01:00;Cesson-Sévigné;48.106515, -1.621243;35051;2061;;;2 rue des Charmilles, Cesson-Sévigné;11 34;214;;;;Oui;Oui;Oui;Oui;Ecopôle Sud Est;;2024-02-12;;Oui;Grand public
1443;2018-07-24T02:00:00+02:00;Rennes;48.091624, -1.662448;35238;1443;2016-08-29T02:00:00+02:00;;47 bis boulevard Oscar Leroux, Rennes;13;;;;;Oui;Oui;Oui;Non;Binquenais;;2022-10-24;;Oui;Grand public
9009;2017-12-06T01:00:00+01:00;;;;613;;;48 square de Lettonie, Rennes;;;;;;;;;;;;;;;
2104;2018-02-07T01:00:00+01:00;Cesson-Sévigné;48.115009, -1.589873;35051;2104;;;6 bis rue de la Rigourdière, Cesson-Sévigné;67;;;;;Oui;Non;Non;Non;Rigourdière;;2023-03-03;;Oui;Grand public
3908;2021-08-17T02:00:00+02:00;Pont-Péan;48.019925, -1.706935;35363;3908;2021-09-02T02:00:00+02:00;;14 route de Nantes, Pont-Péan;72;231;;72;;Oui;Oui;Oui;Oui;Pont-péan Centre;Changement de desserte;2021-09-02;;Oui;Grand public
3910;2021-08-17T02:00:00+02:00;Pont-Péan;48.016996, -1.705211;35363;3910;2021-09-02T02:00:00+02:00;;2 A rue de la Rivaudière, Pont-Péan;72 79;231;72;72;;Oui;Non;Non;Non;Pont-péan Centre;Changement de desserte;2022-10-24;2024-09-01;Oui;Grand public
1222;2018-07-25T02:00:00+02:00;Rennes;48.108107, -1.714065;35238;1222;2017-09-04T02:00:00+02:00;;144 rue de Lorient, Rennes;11 14 TTZ;;;;;Oui;Oui;Non;Non;Moulin du Comte;;2022-10-24;;Oui;Grand public
2128;2018-02-07T01:00:00+01:00;Cesson-Sévigné;48.099769, -1.603037;35051;2128;;;7 route de la Planchette, Cesson-Sévigné;;Ts61;;;;Non;Non;Non;Non;Ménouriais;;2002-01-01;;Oui;Grand public
2254;2018-02-07T01:00:00+01:00;Saint-Jacques-de-la-Lande;48.085145, -1.727706;35281;2254;;;9 boulevard de la Haie des Cognets, Saint-Jacques-de-la-Lande;37;;;;;Oui;Non;Non;Non;ZI Haie des Cognets;;2002-01-01;;Oui;Grand public
3913;2021-08-17T02:00:00+02:00;Pont-Péan;48.012924, -1.703173;35363;3913;2021-09-02T02:00:00+02:00;;24 avenue du Chemin Vert, Pont-Péan;72 79;231;;72;;Oui;Oui;Oui;Oui;Pont-péan Centre;Changement de desserte;2021-09-02;;Oui;Grand public
1736;2022-09-30T02:00:00+02:00;Rennes;48.095662, -1.661936;35238;1736;2022-10-24T02:00:00+02:00;;84 boulevard Emile Combes, Rennes;32;;;;;Oui;;;;;Création;2022-10-24;;Oui;Grand public
2255;2018-02-07T01:00:00+01:00;Saint-Jacques-de-la-Lande;48.078768, -1.732528;35281;2255;2017-02-06T01:00:00+01:00;;6 avenue de Bellevue, Saint-Jacques-de-la-Lande;37;;;;;Non;Non;Non;Non;ZI Haie des Cognets;;2017-02-06;;Oui;Grand public
2268;2018-02-07T01:00:00+01:00;Saint-Jacques-de-la-Lande;48.07518, -1.729388;35281;2268;;;10 rue Jacqueline Auriol, Saint-Jacques-de-la-Lande;37;;;;;Non;Non;Non;Non;ZI Haie des Cognets;;2002-01-01;;Oui;Grand public
1568;2019-05-22T02:00:00+02:00;Rennes;48.121028, -1.713571;35238;1568;;;25 boulevard d'Anjou, Rennes;N1;;;;;Oui;Oui;Oui;Non;Kennedy;;2002-01-01;;Oui;Grand public
4330;2021-08-17T02:00:00+02:00;L'Hermitage;48.126029, -1.806425;35131;4330;2021-09-02T02:00:00+02:00;;30 rue de Pacé, l'Hermitage;;Ts34 Ts66;;;;;;;;;Changement de desserte;2021-09-02;;Oui;Grand public
2406;2022-06-27T02:00:00+02:00;Betton;48.181123, -1.637898;35024;2406;2022-10-24T02:00:00+02:00;;10 avenue d'Armorique, Betton;51 71 78 83;202;;51 71;51;Oui;Oui;Oui;Oui;Betton - centre ville;Changement de desserte;2023-09-04;;Oui;Grand public
4703;2021-08-17T02:00:00+02:00;Laillé;47.975579, -1.717067;35139;4703;2021-09-02T02:00:00+02:00;;2 cours des Tilleuls, Laillé;79 80;Ts9 231;72;72;;Oui;Oui;Oui;Oui;Laillé centre ville;Changement de desserte;2022-10-24;2024-09-01;Oui;Grand public
2502;2018-02-07T01:00:00+01:00;Le Rheu;48.100526, -1.806596;35240;2502;;;55 avenue de la Bouvardière, le Rheu;154 54;Ts33 237 Ts66 Ts67 238 239 240;;54;;Oui;Oui;Non;Oui;Le Rheu - Acquêts / Champs Freslons;;2023-12-19;;Oui;Grand public
2538;2018-02-07T01:00:00+01:00;Le Rheu;48.102271, -1.787379;35240;2538;;;40 mail Gaston Bardet, le Rheu;76;Ts33;;;;Oui;Oui;Oui;Oui;Le Rheu - Les Huberdières;;2002-01-01;;Oui;Grand public
4513;2022-05-18T02:00:00+02:00;Gévezé;48.217426, -1.791037;35120;4513;2022-09-01T02:00:00+02:00;;6 avenue de Beauvais, Gévezé;;Ts44;;;;Non;Non;Non;Non;Gévezé - scolaire;Changement de desserte;2022-09-01;;Oui;Grand public
2815;2018-02-07T01:00:00+01:00;Saint-Grégoire;48.137081, -1.686391;35278;2815;2015-08-31T02:00:00+02:00;;1 rue du Chesnay Beauregard, Saint-Grégoire;C2 12 14;204;;;;Oui;Oui;Non;Oui;Saint-Grégoire - C Cial Leclerc;;2015-08-31;2024-08-31;Oui;Grand public
5078;2022-09-01T02:00:00+02:00;;;;784;2022-09-20T02:00:00+02:00;;1 avenue de Belle Fontaine, Cesson-Sévigné;b;;;;;Oui;Oui;Oui;Oui;;Création;;;;
1625;2018-07-26T02:00:00+02:00;Rennes;48.13073, -1.675781;35238;1625;;;3 rue de la Taurellerie, Rennes;14;;;;;Oui;Oui;Oui;Non;Motte-Brûlon;;2002-01-01;;Oui;Grand public
3012;2018-02-07T01:00:00+01:00;Chantepie;48.089016, -1.612677;35055;3012;2016-08-29T02:00:00+02:00;;1 rue d'Alsace, Chantepie;13;;;;;Oui;Oui;Oui;Oui;Chantepie hallouvry / Auvergne;;2016-08-29;;Oui;Grand public
3016;2018-02-07T01:00:00+01:00;Chantepie;48.093514, -1.607562;35055;3016;2016-08-29T02:00:00+02:00;;3 rue Simone de Beauvoir, Chantepie;13;;;;;Oui;Oui;Oui;Oui;Chantepie hallouvry / Auvergne;;2016-08-29;;Oui;Grand public
3018;2018-02-07T01:00:00+01:00;Chantepie;48.085481, -1.627229;35055;3018;2016-08-29T02:00:00+02:00;;6 allée de Guerlédan, Chantepie;13;;;;;Oui;Oui;Non;Oui;Chantepie les Logettes;;2016-08-29;;Oui;Grand public
